1471,3/13/23 15:26,Oxide3phase,90,< LOD,0.7277,< LOD,0.0967,0.0556,0.0455,< LOD,0.0084,< LOD,0.0075,0.0773,0.0183,0.1752,0.0069,,,< LOD,0.0083,< LOD,0.0034,< LOD,0.0021,< LOD,0.001,0.0095,0.0019,< LOD,0.0008,< LOD,0.0004,0.0015,0.0004,< LOD,0.0003,0.0031,0.0003,< LOD,0.0003,0.0001,0.0001,< LOD,0.0001,< LOD,0.0001,0.0013,0.0003,< LOD,0.0004,< LOD,0.001,< LOD,0.0005,< LOD,0.0015,< LOD,0.0008,,,< LOD,0.0006,< LOD,0.0004,< LOD,0.0011,< LOD,0.0022,< LOD,0,< LOD,0.0045,< LOD,0.0038,< LOD,0.0065,< LOD,0.0006,< LOD,0.0026,< LOD,0.0015,< LOD,0.0006,,,< LOD,0.0003,< LOD,0.0002,0.0004,0.0002,< LOD,0.0002,< LOD,0.0005,< LOD,0.0013,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,aaa,,
1472,3/13/23 15:32,Oxide3phase,90,< LOD,0.7874,< LOD,0.1135,0.1751,0.0581,< LOD,0.0119,< LOD,0.008,< LOD,0.0167,0.2816,0.0086,,,2.3451,0.0181,0.024,0.0048,< LOD,0.005,< LOD,0.0022,0.1306,0.0057,1.6761,0.0133,< LOD,0.0023,0.0029,0.0006,0.0021,0.0005,0.0397,0.001,0.0005,0.0004,< LOD,0.0003,< LOD,0.0001,0.0029,0.0002,0.033,0.0009,0.0018,0.0005,< LOD,0.0015,< LOD,0.0004,0.0016,0.0012,< LOD,0.0007,< LOD,0.0011,< LOD,0.0008,< LOD,0.0006,< LOD,0.0016,< LOD,0.0018,< LOD,0,0.0338,0.0068,< LOD,0.0057,< LOD,0.0097,< LOD,0.0008,< LOD,0.0039,< LOD,0.0021,< LOD,0.0007,,,< LOD,0.0004,< LOD,0.0004,0.0049,0.0007,< LOD,0.0004,< LOD,0.0005,< LOD,0.0014,2,Passed,aaa,,
File #,DateTime,Method,ElapsedTime,,,,,,,,,,,,,,,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hf,Hf Err,Ta,Ta Err,,,,,,,,,Tl,Tl Err,,,,,,,,,Multiplier,Cal Check,,,
1473,3/13/23 15:35,Oxide2phase,30,,,,,,,,,,,,,,,0.5154,0.0435,3.2818,0.0709,0.0781,0.0076,0.0064,0.003,< LOD,0.0015,0.0673,0.0035,0.661,0.0084,< LOD,0.0012,0.0029,0.0008,0.003,0.0008,0.0761,0.0021,< LOD,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< LOD,0.0001,< LOD,0.0033,,,,,,,,,< LOD,0.0014,,,,,,,,,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,,,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,,,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
1474,3/13/23 15:38,Oxide3phase,90,0.8069,0.7543,< LOD,0.1332,4.9147,0.1462,0.0179,0.0112,< LOD,0.008,< LOD,0.016,1.0265,0.0132,,,1.1501,0.0137,0.1311,0.0058,< LOD,0.0063,0.0082,0.0026,0.0876,0.0049,3.0813,0.0176,< LOD,0.003,0.0026,0.0006,0.0017,0.0004,0.0091,0.0005,0.0008,0.0004,0.0006,0.0003,< LOD,0.0001,0.0061,0.0003,0.0662,0.0013,0.0035,0.0005,< LOD,0.0018,< LOD,0.0004,0.0012,0.0012,< LOD,0.0007,< LOD,0.0012,,,< LOD,0.0006,< LOD,0.0018,< LOD,0.0023,< LOD,0,0.1072,0.0088,< LOD,0.007,< LOD,0.0108,< LOD,0.0007,< LOD,0.0042,< LOD,0.0016,,,< LOD,0.0009,< LOD,0.0004,< LOD,0.0004,0.0043,0.0006,< LOD,0.0005,< LOD,0.0006,0.0028,0.0017,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,,,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,aaa,,
1475,3/13/23 15:41,Oxide3phase,90,1.2491,0.7232,< LOD,0.1276,3.6375,0.1277,0.0247,0.0119,0.0322,0.0088,< LOD,0.0162,0.8485,0.0121,,,1.7221,0.0159,0.1132,0.0051,< LOD,0.0055,0.0052,0.0024,0.1056,0.0052,2.1961,0.015,< LOD,0.0025,0.0039,0.0007,0.0016,0.0004,0.0307,0.0009,0.0006,0.0004,0.0005,0.0003,< LOD,0.0001,0.0047,0.0003,0.0453,0.0011,0.0019,0.0005,< LOD,0.0016,0.0006,0.0004,< LOD,0.0011,< LOD,0.0007,,,< LOD,0.0008,< LOD,0.0006,< LOD,0.0017,< LOD,0.0019,< LOD,0,0.0486,0.0072,< LOD,0.0057,< LOD,0.0091,< LOD,0.0007,< LOD,0.004,< LOD,0.0019,< LOD,0.0008,,,< LOD,0.0004,< LOD,0.0004,0.0038,0.0006,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,2,Passed,aaa,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
