,x,y,Mn ppm,Al ppm,Cr ppm,Fe ppm,Ni ppm,Cu ppm,Zn ppm,As ppm,Pb ppm
17-MW150S-S2E0,-60.39915682,53.29529173,0.58,<5.0,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW150M-S2E0,-60.39915682,53.29529173,0.2,0.0058,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW150D-S2E0,-60.39917398,53.29529173,0.025,<5.0,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW171-S2E0,-60.39874488,53.29528147,1.4,<5.0,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW151S-S2E0,-60.39450536,53.29469672,0.62,0.013,<1.0,2.4,<2.0,<2.0,<5.0,<1.0,0.0047
17-MW151M-S2E0,-60.39450536,53.29469672,1.6,<5.0,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW151D-S2E0,-60.39450536,53.29470698,0.048,0.0062,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW152S-S2E1,-60.39264735,53.29462747,0.44,0.0052,<1.0,1.9,<2.0,<2.0,0.056,<1.0,<0.5
17-MW152M-S2E1,-60.39264735,53.29463773,0.43,<5.0,<1.0,2.2,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW152D-S2E1,-60.39264735,53.29463773,0.041,0.012,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW153S-S2E1,-60.39035166,53.29428636,0.5,0.019,<1.0,2.8,<2.0,<2.0,<5.0,0.0013,<0.5
17-MW153M-S2E1,-60.3903345,53.29429662,0.46,0.0062,<1.0,0.98,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW153D-S2E1,-60.39035166,53.29428636,0.035,0.012,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW159-S2E1,-60.38777705,53.29436843,0.34,<5.0,<1.0,1.3,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW160-S2E1,-60.38611214,53.29418377,0.15,<5.0,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
12-MW29-S3E1,-60.38841212,53.29314759,0.33,0.018,<1.0,41,0.0058,<2.0,0.0065,<1.0,<0.5
17-MW161M-S2E1,-60.38681587,53.29263462,0.1,0.012,<1.0,<50,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW162M-S2E1,-60.38839496,53.29313733,0.48,0.0057,<1.0,0.087,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW162D-S2E1,-60.388412,53.2931373,0.042,0.046,<1.0,0.061,<2.0,<2.0,<5.0,<1.0,<0.5
12-MW33-S3E1,-60.38700467,53.29240891,0.54,0.016,<1.0,38,0.002,<2.0,0.012,0.0012,<0.5
17-MW163S-S2E1,-60.38446439,53.29301422,0.3,0.023,<1.0,0.66,<2.0,<2.0,<5.0,<1.0,<0.5
17-MW163M-S2E1,-60.38446439,53.29301422,0.16,0.026,<1.0,0.1,<2.0,<2.0,<5.0,<1.0,<0.5
