name,x,y,Mn (%) ,Mn (ppm)
AM 212.2 soil,-60.38423225,53.29217787,0.0948,948
AM 212.3 soil,-60.38414642,53.29227927,0.0859,859
AM 212.4 soil,-60.38419638,53.29231414,0.0684,684
AM 212.5 soil,-60.38408004,53.29223659,0.0572,572
AM 212.6 soil,-60.38396169,53.29228308,0.0753,753
AM 220.1 soil,-60.38848908,53.29057286,0.5406,5406
AM 220.2 soil,-60.38850736,53.29060866,0.1463,1463
AM 220.3 soil,-60.38853049,53.29065295,0.0905,905
AM 220.4 soil,-60.38840644,53.29058,0.0733,733
AM 220.5 soil,-60.38834006,53.29059283,0.2052,2052
AM 220.6 soil,-60.38847081,53.29051967,0.0795,795
AM 220.7 soil,-60.38844969,53.29047178,0.474,4740
AM 220.8 soil,-60.38859185,53.29054473,0.1155,1155
AM 220.9 soil,-60.38867667,53.29055535,0.0711,711
